City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Manaure,CO,79.52,overcast clouds,11.7751,-72.4445,Hotel Palaaima
2,Namibe,AO,68.63,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
3,Nelson Bay,AU,60.01,broken clouds,-32.7167,152.15,Mantra Nelson Bay
4,Atuona,PF,78.24,scattered clouds,-9.8,-139.0333,Villa Enata
5,Qui Nhon,VN,81.95,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
6,Gizo,SB,82.76,broken clouds,-8.103,156.8419,Imagination Island
10,Coolum Beach,AU,65.1,light rain,-26.5333,153.1,Coolum Beach Resort
15,Santa Lucia,ES,65.52,scattered clouds,27.9117,-15.5407,Las Tirajanas
16,Rikitea,PF,75.42,light rain,-23.1203,-134.9692,People ThankYou
17,Georgetown,MY,89.55,few clouds,5.4112,100.3354,Cititel Penang
19,Fare,PF,80.8,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
21,Nicoya,CR,75.47,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
23,Suez,EG,89.56,clear sky,29.9737,32.5263,Green House
24,Camopi,GF,73.63,overcast clouds,3.1655,-52.3158,La pousada
25,Baculin,PH,79.74,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
29,Vanimo,PG,79.39,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
30,Gondanglegi,ID,79.03,broken clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
31,Stara Synyava,UA,63.07,clear sky,49.6032,27.6191,Готель Стара Синява LEX
33,Carnarvon,AU,70.75,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
38,Zahesi,GE,65.91,scattered clouds,41.8246,44.7536,Sanapiro
39,Alyangula,AU,77.23,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
40,Jiuquan,CN,86.99,overcast clouds,39.7432,98.5174,Jiuquan Hotel
41,Taksimo,RU,62.53,overcast clouds,56.3444,114.8794,"Gostinitsa ""Domashniy Ochag"""
42,Auki,SB,77.77,broken clouds,-8.7676,160.7034,Auki Motel
43,Mocuba,MZ,76.66,broken clouds,-16.8392,36.9856,Phama Lodge
46,Dillon,US,71.94,overcast clouds,34.4166,-79.3712,Dillon Express Inn
47,Busselton,AU,62.92,broken clouds,-33.65,115.3333,Observatory Guest House
